name,wikipedia
Chordeiles,Chordeiles is a New World genus of nighthawks in the family Caprimulgidae.
Chorizagrotis,Chorizagrotis is a genus of moths of the family Noctuidae.
Chorizema,"Chorizema, commonly known as flame peas, is a genus of flowering plants in the family Fabaceae and is endemic to Australia."
Christchurch,Christchurch (; Māori: Ōtautahi) is the largest city in the South Island of New Zealand and the seat of the Canterbury Region.
Christendom,"Christendom historically refers to the Christian states, Christian empires, Christian-majority countries and the countries in which Christianity dominates, prevails, or that it is culturally or historically intertwined with."
Christianity,Christianity () is an Abrahamic monotheistic religion based on the life and teachings of Jesus.
Christianization,Christianization (or Christianisation) is a term for the specific type of change that occurs when someone or something has been or is being converted to Christianity.
Christmas,"Christmas is an annual festival commemorating the birth of Jesus Christ, observed primarily on December 25 as a religious and cultural celebration among billions of people around the world."
Christmasberry,"Christmasberry (also Christmas berry or Christmas-berry) can refer to any one of several shrubs or small trees, as well as their colorful fruit:"
Christmastide,"Christmastide, also known as Christide, is a season of the liturgical year in most Christian churches."
Christology,"In Christianity, Christology (from the Greek Χριστός, Khristós and -λογία, -logia), translated from Greek as 'the study of Christ', is a branch of theology that concerns Jesus."
Christopher,Christopher is the English version of a Europe-wide name derived from the Greek name Χριστόφορος (Christophoros or Christoforos).
Chronoperates,"Chronoperates (meaning ""time wanderer"" in Greek) is an extinct genus of mammal whose remains have been found in a late Paleocene deposit in Alberta, Canada."
Chrysaora,"Chrysaora () is a genus of jellyfish, commonly called the sea nettles, in the family Pelagiidae."
Chrysemys,Chrysemys is a genus of turtles in the family Emydidae.
Chrysobalanus,"Chrysobalanus is a genus of evergreen perennial shrubs to small trees, described as a genus by Linnaeus in 1753."
Chrysochloris,Chrysochloris is a genus of mammal in the family Chrysochloridae.
Chrysolepis,"Chrysolepis is a small genus of plants in the family Fagaceae, endemic to the western United States."
Chrysolophus,Chrysolophus is a genus of the pheasant family of birds.
Chrysophyllum,"Chrysophyllum is a group of trees in the Sapotaceae described as a genus by Linnaeus in 1753.The genus is native to the tropical Americas, from Mexico to northern Argentina, including the Caribbean."
Chrysophyta,Chrysophyta or golden algae is a term used to refer to certain heterokonts.
Chrysopidae,Green lacewings are insects in the large family Chrysopidae of the order Neuroptera.
Chrysopsis,Chrysopsis (golden asters) are plants in the family Asteraceae native to the southern and eastern United States.
Chrysosplenium,Chrysosplenium (golden saxifrage or golden-saxifrage) is a genus of 57 species of flowering plant in the family Saxifragaceae.
Chrysothamnus,"Chrysothamnus, known as rabbitbrush, rabbitbush, and chamisa, are a genus of shrubs in the family Asteraceae."
Chytridiaceae,The Chytridiaceae are a family of fungi in the order Chytridiales.
Chytridiales,"Fungi of the order Chytridiales, like other members of its division, may either have a monocentric thallus or a polycentric rhizomycelium."
Chytridiomycetes,Chytridiomycetes () is a class of fungi.
Ciardi,Ciardi is an Italian surname.
Cibotium,"Cibotium (from Greek κιβώτιον, kibṓtion, ""little chest"" or ""box""), also known as manfern, is a genus of 11 species of tropical tree ferns."
Cicadidae,"Cicadidae, the true cicadas, is one of two families of cicadas, containing almost all living cicada species with more than 3,200 species worldwide."
Cicer,"Cicer is a genus of the legume family, Fabaceae, and the only genus found in tribe Cicereae."
Cicero,"Marcus Tullius Cicero ( SISS-ə-roh; Latin: [ˈmaːrkʊs ˈtʊlːi.ʊs ˈkɪkɛroː]; 3 January 106 BC – 7 December 43 BC) was a Roman statesman, lawyer, scholar, philosopher, writer and Academic skeptic, who tried to uphold optimate principles during the political crises that led to the establishment of the Roman Empire."
Cichorium,Cichorium is a genus of plants in the tribe Cichorieae within the family Asteraceae.
Ciconia,Ciconia ( sih-KOH-nee-uh; Classical Latin: [kiˈkoː.ni.a]) is a genus of birds in the stork family.
Cicuta,"Cicuta, commonly known as water hemlock, is a genus of four species of highly poisonous plants in the family Apiaceae."
Cimabue,"Cimabue (Italian: [tʃimaˈbuːe]), c. 1240 – 1302,  was an Italian painter and designer of mosaics from Florence."
Cimex,Cimex is a genus of insects in the family Cimicidae.
Cimicidae,The Cimicidae are a family of small parasitic bugs that feed exclusively on the blood of warm-blooded animals.
Cincinnati,"Cincinnati ( SIN-si-NAT-ee, nicknamed Cincy) is a city in and the county seat of Hamilton County, Ohio, United States."
Cinderella,"""Cinderella"", or ""The Little Glass Slipper"", is a folk tale with thousands of variants that are told throughout the world."
Cinnamomum,"Cinnamomum is a genus of evergreen aromatic trees and shrubs belonging to the laurel family, Lauraceae."
Circaea,"The Circaea, or enchanter's nightshades, are a genus of flowering plants in the evening primrose family Onagraceae."
Circaetus,"Circaetus, the snake eagles, is a genus of medium-sized eagles in the bird of prey family Accipitridae."
Circe,"Circe (; Ancient Greek: Κίρκη : Kírkē, pronounced [kírkɛː]) is an enchantress and a minor goddess in ancient Greek mythology and religion."
Circinus,"Circinus is a small, faint constellation in the southern sky, first defined in 1756 by the French astronomer Nicolas-Louis de Lacaille."
Circumcision,Circumcision is a procedure that removes the foreskin from the human penis.
Circus,"A circus is a company of performers who put on diverse entertainment shows that may include clowns, acrobats, trained animals, trapeze acts, musicians, dancers, hoopers, tightrope walkers, jugglers, magicians, ventriloquists, and unicyclists as well as other object manipulation and stunt-oriented artists."
Cirsium,"Cirsium is a genus of perennial and biennial flowering plants in the Asteraceae, one of several genera known commonly as thistles."
Cistaceae,"The Cistaceae  are a small family of plants (rock-rose or  rock rose family) known for their beautiful shrubs, which are profusely covered by flowers at the time of blossom."
Cistothorus,Cistothorus is a genus of small passerine birds in the family Troglodytidae.
Cistus,"Cistus (from the Greek kistos) is a genus of flowering plants in the rockrose family Cistaceae, containing about 20 species (Ellul et al."
Citation,A citation is a reference to a source.
Citharichthys,"Citharichthys is a genus of flatfish in the large-tooth flounder family, Paralichthyidae."
Citrullus,"Citrullus is a genus of seven species of desert vines, among which Citrullus lanatus (the watermelon) is an important crop."
Cladonia,Cladonia is a genus of moss-like lichens in the family Cladoniaceae.
Cladoniaceae,The Cladoniaceae are a family of lichenized fungi in the order Lecanorales.
Cladrastis,Cladrastis (yellowwood) is a genus of flowering plants in the family Fabaceae.
Clark,"Clark is an English language surname, ultimately derived from the Latin with historical links to England, Scotland, and Ireland clericus meaning ""scribe"", ""secretary"" or a scholar within a religious order, referring to someone who was educated."
Clathrus,"Clathrus is a genus of fungi of the family Phallaceae, the stinkhorn fungi."
Claudius,"Tiberius Claudius Caesar Augustus Germanicus (; Latin: [tɪˈbɛriʊs ˈklau̯diʊs ˈkae̯sar au̯ˈɡʊstʊs gɛrˈmaːnɪkʊs]; 1 August 10 BC – 13 October AD 54) was Roman emperor, ruling from AD 41 to 54."
Clavariaceae,The Clavariaceae are a family of fungi in the order Agaricales.
Clavicipitaceae,The Clavicipitaceae are a family of fungi within the order Hypocreales.
Clay,"Clay is a type of fine-grained natural soil  material containing clay minerals (hydrous aluminium phyllosilicates, e.g."
Claytonia,"Claytonia (spring beauty) is a genus of flowering plants native to Asia, North America, and Central America."
Cleanthes,Cleanthes (; Greek: Κλεάνθης; c.
Cleistes,Cleistes is a genus of orchids (family Orchidaceae).
Clemens,"Clemens is a Late Latin, German, and Dutch masculine given name and a surname, meaning ""merciful""."
Cleome,"Cleome  is a genus of flowering plants in the family Cleomaceae, commonly known as spider flowers, spider plants, spider weeds, or bee plants."
Cleopatra,Cleopatra VII Thea Philopator (Koinē Greek: Κλεοπάτρα Θεά Φιλοπάτωρ lit.
Cleridae,Cleridae are a family of beetles of the superfamily Cleroidea.
Clethra,Clethra is a genus of flowering shrubs or small trees described as a genus by Linnaeus in 1753.Clethra is one of two genera in the family Clethraceae (the other being Purdiaea).
Clethraceae,"The Clethraceae are a small family of flowering plants in the order Ericales, composed of two genera, Clethra and Purdiaea, with approximately 75 species."
Clethrionomys,"Clethrionomys is a genus of small, slender voles."
Cleveland,"Cleveland ( KLEEV-lənd), officially the City of Cleveland, is a city in the U.S. state of Ohio and the county seat of Cuyahoga County."
Cliftonia,"Cliftonia monophylla, the buck-wheat tree, buckwheat tree or black titi, is a tree native to the southeastern United States."
Clinidae,"Clinidae is a family of marine fish in the order Blenniiformes within the series Ovalentaria, part of the Percomorpha ."
Clinopodium,Clinopodium is a genus of flowering plants in the family Lamiaceae.
Clinton,"Clinton is an English toponymic surname, indicating one's ancestors came from English places called Glympton or Glinton."
Clio,"In Greek mythology, Clio (traditionally , but now more frequently ; Greek: Κλειώ), also spelled Kleio, is the muse of history, or in a few mythological accounts, the muse of lyre-playing."
Clioquinol,Clioquinol (iodochlorhydroxyquin) is an antifungal drug and antiprotozoal drug.
Clitocybe,"Clitocybe is a genus of mushrooms characterized by white, off-white, buff, cream, pink, or light-yellow spores, gills running down the stem, and pale white to brown or lilac coloration."
Clitoria,"Clitoria is a genus of mainly tropical and subtropical, insect-pollinated flowering pea vines."
Clive,Clive is a name.
Clorox,The Clorox Company (formerly Clorox Chemical Company) is an American global manufacturer and marketer of consumer and professional products.
Clotho,"Clotho (; Greek: Κλωθώ) or Klotho, is a mythological figure."
Clupea,"Clupea is genus of planktivorous bony fish belonging to the family Clupeidae, commonly known as herrings."
Clupeidae,"Clupeidae is a family of clupeiform ray-finned fishes, comprising, for instance, the herrings and sprats."
Clusiaceae,The Clusiaceae or Guttiferae Juss.
Clytemnestra,"Clytemnestra (, UK also ; Greek: Κλυταιμνήστρα, Klytaimnḗstrā, [klytai̯mnɛ̌ːstraː]), in Greek mythology, was the wife of Agamemnon, king of Mycenae, and the half-sister of Helen of Troy."
Cnemidophorus,Cnemidophorus is a genus of lizards in the family Teiidae.
Cnidaria,"Cnidaria () is a phylum under kingdom Animalia containing over 11,000 species of aquatic animals found both in freshwater and marine environments (predominantly the latter), including jellyfish, hydroids, sea anemone, corals and some of the smallest marine parasites."
Cnidoscolus,Cnidoscolus is a plant genus of the family Euphorbiaceae first described as a genus in 1827.
Cnut,Cnut (; Old English: Cnut; Old Norse: Knútr Old Norse pronunciation: [ˈknuːtr]; c.
Coahuila,"Coahuila (Spanish pronunciation: [koaˈwila] ), formally Coahuila de Zaragoza (Latin American Spanish: [koaˈwila ðe saɾaˈɣosa] ; Lipan: Nacika), officially the Free and Sovereign State of Coahuila de Zaragoza (Spanish: Estado Libre y Soberano de Coahuila de Zaragoza), is one of the 32 states of Mexico."
Cobitidae,"Cobitidae, also known as the True loaches, is a family of Old World freshwater fish."
Coca,"Coca is any of the four cultivated plants in the family Erythroxylaceae, native to western South America."
Coccidae,The Coccidae are a family of scale insects belonging to the superfamily Coccoidea.
Coccidia,"Coccidia (Coccidiasina) are a subclass of microscopic, spore-forming, single-celled obligate intracellular parasites belonging to the apicomplexan class Conoidasida."
Coccinellidae,Coccinellidae () is a widespread family of small beetles.
Cocculus,"Cocculus  is a genus of four species of woody vines and shrubs, native to  tropical and subtropical regions of Africa and Asia."
Coccyzus,Coccyzus is a genus of  cuckoos which occur in the Americas.
Cochise,"Cochise ( koh-CHEESS; Apache: Shi-ka-She or A-da-tli-chi, lit. 'having the quality/strength of an oak'; later K'uu-ch'ish or Cheis, lit. 'oak'; c. 1805 – June 8, 1874) was the leader of the Chiricahui local group of the Chokonen and principal nantan of the Chokonen band of a Chiricahua Apache."
Cochlearia,Cochlearia (scurvy-grass or spoonwort) is a genus of about 30 species of annual and perennial herbs in the family Brassicaceae.
Cochran,Cochran is a surname of Scottish (and most likely of Cumbric) origin.
Cockaigne,"Cockaigne or Cockayne () is a land of plenty in medieval myth, an imaginary place of extreme luxury and ease where physical comforts and pleasures are always immediately at hand and where the harshness of medieval peasant life does not exist."
Cockcroft,Cockcroft or Cockroft is a surname.
Cockney,"Cockney is a dialect of the English language, mainly spoken in London and its environs, particularly by Londoners with working-class and lower middle-class roots."
Cocopah,"The Cocopah (Cocopah: Xawiƚƚ Kwñchawaay) are Native Americans who live in Baja California, Mexico, and Arizona, United States."
Cocytus,"Cocytus  or Kokytos  (Ancient Greek: Κωκυτός, literally ""lamentation"") is the river of wailing  in the underworld in Greek mythology."
Codariocalyx,"Codariocalyx is a genus of flowering plants in the legume family, Fabaceae."
Codiaeum,Codiaeum is a genus of plants under the family Euphorbiaceae first described as a genus in 1824.
Coelenterata,"Coelenterata is a term encompassing the animal phyla Cnidaria (coral animals, true jellies, sea anemones, sea pens, and their relatives) and Ctenophora (comb jellies)."
Coffea,Coffea is a genus of flowering plants in the family Rubiaceae.
Cognac,"Cognac ( KON-yak, also US:  KOHN-, KAWN-, French: [kɔɲak] ) is a variety of brandy named after the commune of Cognac, France."
Cohan,Cohan is a surname of Irish origins.
Cohn,Cohn is a Jewish surname (related to the last name Cohen).
Cola,"Cola is a carbonated soft drink flavored with vanilla, cinnamon, citrus oils, and other flavorings."
Colaptes,Colaptes is a genus of birds in the woodpecker family Picidae.
Colchicaceae,Colchicaceae is a family of flowering plants that includes 15 genera with a total of about 285 known species according to Christenhusz and Byng in 2016.
Colchicum,Colchicum ( KOL-chik-əm or  KOL-kik-əm) is a genus of perennial flowering plants containing around 160 species which grow from bulb-like corms.
Colchis,"In classical antiquity and Greco-Roman geography, Colchis (; Ancient Greek: Κολχίς) was an exonym for the Georgian polity of Egrisi (Georgian: ეგრისი) located on the eastern coast of the Black Sea, centered in present-day western Georgia."
Coleonyx,Coleonyx is a genus of terrestrial geckos commonly referred to as banded geckos.
Colette,"Sidonie-Gabrielle Colette (French: [sidɔni ɡabʁijɛl kɔlɛt]; 28 January 1873 – 3 August 1954), known as Colette, was a French author and woman of letters."
Colima,"Colima (Spanish pronunciation: [koˈlima] ), officially the Free and Sovereign State of Colima (Spanish: Estado Libre y Soberano de Colima), is among the 31 states that make up the 32 Federal Entities of Mexico."
Colinus,"Colinus is a genus of birds in the New World quail family, Odontophoridae."
Collinsia,"Collinsia is a genus of about 20 species of annual flowering plants, consisting of the blue eyed Marys and the Chinese houses."
Collinsonia,Collinsonia is a genus of flowering plants in the family Lamiaceae.
Collocalia,"Collocalia is a genus of swifts, containing some of the smaller species termed ""swiftlets""."
Colocasia,"Colocasia is a genus of flowering plants in the family Araceae, native to southeastern Asia and the Indian subcontinent."
Cologne,Cologne (  kə-LOHN; German: Köln [kœln] ; Kölsch: Kölle [ˈkœlə] ) is the largest city of the German state of North Rhine-Westphalia and the fourth-most populous city of Germany with nearly 1.1 million inhabitants in the city proper and over 3.1 million people in the Cologne Bonn urban region.
Colombia,"Colombia ( , ; Spanish: [koˈlombja] ), officially the Republic of Colombia, is a country  mostly in South America with insular regions in North America."
Colombo,"Colombo ( kə-LUM-boh; Sinhala: කොළඹ, romanized: Koḷam̆ba, IPA: [ˈkoləᵐbə]; Tamil: கொழும்பு, romanized: Koḻumpu, IPA: [koɻumbɯ]) is the executive and judicial capital and largest city of Sri Lanka by population."
Colony,A colony is a territory subject to a form of foreign rule.
Colorado,"Colorado ( , other variants) is a state in the Mountain West subregion of the Western United States."
Colossae,"Colossae (; Greek: Κολοσσαί) was an ancient city of Phrygia in Asia Minor, and one of the most celebrated cities of southern Anatolia (modern Turkey)."
Colosseum,"The Colosseum ( KOL-ə-SEE-əm; Italian: Colosseo [kolosˈsɛːo]) is an elliptical amphitheatre in the centre of the city of Rome, Italy, just east of the Roman Forum."
Colubridae,"Colubridae (, commonly known as colubrids , from Latin: coluber, 'snake') is a family of snakes."
Colubrina,"Colubrina is a genus of about 30 species of flowering plants in the family Rhamnaceae, native to warm temperate to tropical regions of Africa, the Americas, southern Asia, northern Australia, and the Indian Ocean islands."
Columba,Columba () or Colmcille (7 December 521 – 9 June 597 AD) was an Irish abbot and missionary evangelist credited with spreading Christianity in what is today Scotland at the start of the Hiberno-Scottish mission.
Columbidae,Columbidae ( kə-LUM-bih-dee) is a bird family consisting of doves and pigeons.
Colutea,"Colutea is a genus of about 28 species of deciduous flowering shrubs in the legume family Fabaceae, growing from 2–5 m tall, native to southern Europe, north Africa and southwest Asia."
Colymbiformes,Colymbiformes is a disused order of birds that was once used to classify grebes and loons.
Comanche,"The Comanche  or Nʉmʉnʉʉ (Comanche: Nʉmʉnʉʉ, ""the people"") is a Native American tribe from the Southern Plains of the present-day United States."
Comandra,Comandra is a monotypic genus containing the single species Comandra umbellata.
Comatulidae,Comatulidae is a family of comatulid crinoids.
Combretaceae,"The Combretaceae, often called the white mangrove family, are a family of flowering plants in the order Myrtales."
Commelinaceae,Commelinaceae is a family of flowering plants.
Commelinales,Commelinales is an order of flowering plants.
Commerce,"Commerce is the large-scale organized system of activities, functions, procedures and institutions that directly or indirectly contribute to the smooth, unhindered distribution and transfer of goods and services on a substantial scale and at the right time, place, quantity, quality and price through various channels from the original producers to the final consumers within local, regional, national or international economies."
Commiphora,"The genus of the myrrhs, Commiphora, is the most species-rich genus of flowering plants in the frankincense and myrrh family, Burseraceae."
Commons,"The commons is the cultural and natural resources accessible to all members of a society, including natural materials such as air, water, and a habitable Earth."
Comoros,"The Comoros, officially the Union of the Comoros, is an archipelagic country made up of three islands in Southeastern Africa, located at the northern end of the Mozambique Channel in the Indian Ocean."
Comrade,"The term comrade (Russian: товарищ, romanized: tovarishch) generally means 'mate', 'colleague', or 'ally', and derives from the Spanish and Portuguese, term camarada, literally meaning 'chamber mate', from Latin camera, meaning 'chamber' or 'room'."
Conakry,"Conakry (; French pronunciation: [kɔnakʁi]; Susu: Kɔnakiri; N'Ko: ߞߐߣߊߞߙߌ߫, Fula: 𞤑𞤮𞤲𞤢𞥄𞤳𞤭𞤪𞤭, romanized: Konaakiri) is the capital and largest city of Guinea."
Condylura,"Condylura is a genus of moles that contains a single extant species, the star-nosed mole (Condylura cristata) endemic to the northern parts of North America."
Confucianism,"Confucianism, also known as Ruism or Ru classicism, is a system of thought and behavior originating in ancient China, and is variously described as a tradition, philosophy, (humanistic or rationalistic) religion, theory of government, or way of life."
Confucius,"Confucius (孔子; pinyin: Kǒngzǐ; lit. 'Master Kong'; c. 551 – c. 479 BCE), born Kong Qiu (孔丘) was a Chinese philosopher of the Spring and Autumn period who is traditionally considered the paragon of Chinese sages."
Congress,"A congress is a formal meeting of the representatives of different countries, constituent states, organizations, trade unions, political parties, or other groups."
Congridae,The Congridae are the family of conger and garden eels.
Conilurus,"The rabbit rats, genus Conilurus represent an unusual genus of Old World rats from Australia, New Guinea, and Melville Island."
Coniogramme,Coniogramme is one of three genera in the subfamily Cryptogrammoideae of the fern family Pteridaceae.
Conium,Conium ( or ) is a genus of flowering plants in the family Apiaceae.
Connaraceae,"Connaraceae is a pan-tropical plant family of 19 genera and more than 180 species of largely evergreen trees, woody shrubs and climbers."
Connarus,Connarus is a genus of plants in the family Connaraceae.
Connecticut,Connecticut (  kə-NET-ik-ət) is the southernmost state in the New England region of the Northeastern United States.
Conocarpus,"Conocarpus is a genus of two species of flowering plants in the family Combretaceae, native to tropical regions of the world."
Conoclinium,"Conoclinium, the mistflowers, is a genus of four species of herbaceous perennial flowering plants, native to North America."
Conopodium,Conopodium is a genus of flowering plants belonging to the family Apiaceae.Its native range is north-western Europe and the Mediterranean.
Conospermum,Conospermum is a genus of about 50 species in the family Proteaceae that are endemic to Australia.
Conradina,"Conradina is a genus of flowering plants in the mint family, Lamiaceae."
Consolida,"Consolida is a genus of about 40 species of annual flowering plants in the family Ranunculaceae, native to western Europe, the Mediterranean and Asia."
Constable,"A constable is a person holding a particular office, most commonly in criminal law enforcement."
Constantina,Flavia Valeria Constantina (also sometimes called Constantia and Constantiana; Greek: Κωνσταντίνα; b.
Constantinople,Constantinople (see other names) became the capital of the Roman Empire during the reign of Constantine the Great in 330.
Constitution,"A constitution is the aggregate of fundamental principles or established precedents that constitute the legal basis of a polity, organization or other type of entity, and commonly determines how that entity is to be governed.When these principles are written down into a single document or set of legal documents, those documents may be said to embody a written constitution; if they are encompassed in a single comprehensive document, it is said to embody a codified constitution."
Continent,A continent is any of several large geographical regions.
Contras,"The Contras (from Spanish: la contrarrevolución, lit. 'the counter-revolution') were the various U.S.-backed and funded right-wing rebel groups that were active from 1979 to 1990 in opposition to the Marxist Sandinista Junta of National Reconstruction Government in Nicaragua, which had come to power in 1979 following the Nicaraguan Revolution."
Convallaria,Convallaria is a genus of flowering plants.
Converso,"A converso (Spanish: [komˈbeɾso]; Portuguese: [kõˈvɛɾsu]; feminine form conversa), ""convert"", (from Latin  conversvs 'converted, turned around') was a Jew who converted to Catholicism in Spain or Portugal, particularly during the 14th and 15th centuries, or one of their descendants."
Convolvulaceae,"Convolvulaceae (US: ), commonly called the bindweeds or morning glories, is a family of about 60 genera and more than 1,650 species."
Conyza,"Conyza (horseweed, butterweed or fleabane) is a genus of flowering plants in the family Asteraceae.They are native to tropical and warm temperate regions throughout the world, and also north into cool temperate regions in North America and eastern Asia."
Cooke,Cooke is a surname of English and Irish origin derived from the occupation of cook and anglicisation of various Gaelic names.
Copenhagen,"Copenhagen ( KOH-pən-HAY-gən, -⁠HAH- or  KOH-pən-hay-gən, -⁠hah-; Danish: København [kʰøpm̩ˈhɑwˀn] ) is the capital and most populous city of Denmark, with a population of around 660,000 in the municipality and 1.4 million in the urban area."
Copernicia,Copernicia is a genus of palms native to South America and the Greater Antilles.
Coprinus,Coprinus is a small genus of mushroom-forming fungi consisting of Coprinus comatus—the shaggy ink cap (British) or shaggy mane (American)—and several of its close relatives.
Coptis,"Coptis (goldthread or canker root) is a genus of between 10 and 15 species of flowering plants in the family Ranunculaceae, native to Asia and North America."
Coracias,"Coracias is a genus of the rollers, an Old World family of near passerine birds related to the kingfishers and bee-eaters."
Coraciidae,"Coraciidae () is a family of Old World birds, which are known as rollers because of the aerial acrobatics some of these birds perform during courtship or territorial flights."
Coraciiformes,"The Coraciiformes  are a group of usually colourful birds including the kingfishers, the bee-eaters, the rollers, the motmots, and the todies."
Coragyps,Coragyps is a genus of New World vulture that contains the black vulture (Coragyps atratus) and two extinct relatives.
Corallorhiza,"Corallorhiza, the coralroot, is a genus of flowering plants in the orchid family."
Corchorus,"Corchorus is a genus of about 40–100 species of flowering plants in the family Malvaceae, native to tropical and subtropical regions throughout the world.Different common names are used in different contexts, with jute applying to the fiber produced from the plant, and jute mallow leaves for the leaves used as a vegetable."
Cordaitaceae,Cordaitaceae is an extinct family of conifers.
Cordaitales,"Cordaitales are an extinct order of gymnosperms, known from the early Carboniferous to the late Permian."
Cordaites,"Cordaites is an important genus of extinct gymnosperms, related to or actually representing the earliest conifers."
Corday,Corday is a surname.
Cordia,"Cordia is a genus of flowering plants in the borage family, Boraginaceae."
Cordylidae,Cordylidae is a family of small- to medium-sized lizards that occur in southern and eastern Africa.
Cordyline,"Cordyline is a genus of about 24 species of woody monocotyledonous flowering plants in family Asparagaceae, subfamily Lomandroideae."
Cordylus,"The genus Cordylus (Sauria: Cordylidae) includes a wide variety of species of small to medium spiny lizards from Africa, collectively called girdle-tailed lizards or girdled lizards."
Coregonus,Coregonus is a diverse genus of fish in the salmon family (Salmonidae).
Coreidae,Coreidae is a large family of predominantly sap-sucking insects in the Hemipteran suborder Heteroptera.
Coriandrum,Coriandrum is a genus of herbs in the family Apiaceae containing the cultivated species Coriandrum sativum (coriander) and the wild species Coriandrum tordylium.
Coricidin,"Coricidin, Coricidin 'D' (decongestant), or Coricidin HBP (for high blood pressure), is the name of an over-the-counter cough and cold drug containing dextromethorphan (a cough suppressant) and chlorpheniramine maleate (an antihistamine)."
Corinth,"Corinth ( KORR-inth; Greek: Κόρινθος, romanized: Kórinthos, Modern Greek pronunciation: [ˈkorinθos]) is the successor to an ancient city, and is a former municipality in Corinthia, Peloponnese, which is located in south-central Greece."
Corixa,Corixa is a genus of aquatic bugs in the family Corixidae.
Corixidae,Corixidae is a family of aquatic insects in the order Hemiptera.
Cornaceae,The Cornaceae are a cosmopolitan family of flowering plants in the order Cornales.
Cornus,"Cornus is a genus of about 30–60 species of woody plants in the family Cornaceae, commonly known as dogwoods, which can generally be distinguished by their blossoms, berries, and distinctive bark."
Cornwall,Cornwall (; Cornish: Kernow [ˈkɛrnɔʊ]) is a ceremonial county and Historic County in South West England.
Corokia,Corokia is a genus in the Argophyllaceae family.
Coropuna,Coropuna is a dormant compound volcano located in the Andes mountains of southeast-central Peru.
Corregidor,"Corregidor ([kɔˈɾɛhidɔr], Tagalog: Pulo ng Corregidor, Spanish: Isla del Corregidor) is an island located at the entrance of Manila Bay in the southwestern part of Luzon in the Philippines, and is considered part of the Province of Cavite."
Corsica,"Corsica ( KOR-sik-ə, Upper Corsican: [ˈkorsiɡa], Southern Corsican: [ˈkɔrsika], Italian: [ˈkɔrsika]; French: Corse [kɔʁs] ; Ligurian: Còrsega) is an island in the Mediterranean Sea and one of the 18 regions of France."
Cortaderia,Cortaderia is a genus of South American and Central American plants in the Poaceae grass family.
Cortinariaceae,"The Cortinariaceae are a large family of gilled mushrooms found worldwide, containing over 2100 species."
Cortinarius,Cortinarius is a globally distributed genus of mushrooms in the family Cortinariaceae.
Corvidae,"Corvidae is a cosmopolitan family of oscine passerine birds that contains the crows, ravens, rooks, magpies, jackdaws, jays, treepies, choughs, and nutcrackers."
Corvus,Corvus is a widely distributed genus of birds ranging from medium-sized to large-sized in the family Corvidae.
Coryanthes,"Coryanthes, commonly known as bucket orchids, is a genus of neotropical epiphytic orchids (family Orchidaceae)."
Corydalidae,The family Corydalidae contains the megalopterous insects known as dobsonflies and fishflies.
Corydalis,"Corydalis (from Greek korydalís ""crested lark"") is a genus of about 540 species of annual and perennial herbaceous plants in the family Papaveraceae, native to the temperate Northern Hemisphere and the high mountains of tropical eastern Africa."
Corydalus,"Corydalus is a genus of large flying insects in the Corydalidae family, commonly known as dobsonflies."
Corylopsis,"Corylopsis is a genus of nearly 30 species of shrubs in the witch hazel family, Hamamelidaceae, native to eastern Asia with the majority of species endemic to China but with some also in Japan, Korea, and the Himalayas."
Corypha,"Corypha or the gebang palm, buri palm or talipot palm  is a genus of palms (family Arecaceae), native to India, Malaysia, Indonesia, the Philippines, New Guinea and northeastern Australia (Cape York Peninsula, Queensland)."
Cosmocampus,Cosmocampus is a genus of pipefishes.
Cotinus,"Cotinus (), the
smoketree or smoke bush, is a genus of seven species of flowering plants in the family Anacardiaceae, closely related to the sumacs (Rhus)."
Cotonou,Cotonou (French pronunciation: [kɔtɔnu]; Fon: Kútɔ̀nú) is the largest city in Benin.
Cotopaxi,"Cotopaxi (Spanish pronunciation: [kotoˈpaksi]) is an active stratovolcano in the Andes Mountains, located near Latacunga city of Cotopaxi Province, about 50 km (31 mi) south of Quito, and 31 km (19 mi) northeast of the city of Latacunga, Ecuador."
Cotswolds,"The Cotswolds ( KOTS-wohldz, KOTS-wəldz) is a region in central, South East, but predominantly South West England, along a range of rolling hills that rise from the meadows of the upper River Thames to an escarpment above the Severn Valley, Bath and Evesham Vale."
Cottidae,"The Cottidae are a family of fish in the superfamily Cottoidea, the sculpins."
Cotula,Cotula is a genus of flowering plant in the sunflower family.
Coturnix,Coturnix is a genus of five extant species and five to eight known extinct species of Old World quail.
Coulomb,The coulomb (symbol: C) is the unit of electric charge in the International System of Units (SI).
Court,"A court is any person or institution, often as a government institution, with the authority to adjudicate legal disputes between parties and carry out the administration of justice in civil, criminal, and administrative matters in accordance with the rule of law."
Coventry,"Coventry (  KOV-ən-tree or  KUV-) is a cathedral city and metropolitan borough in the West Midlands county, in England, on the River Sherbourne."
Crab,"Crabs are decapod crustaceans of the infraorder Brachyura, which typically have a very short projecting ""tail"" (abdomen), usually hidden entirely under the thorax (brachyura means ""short tail"" in Greek)."
Cracidae,"The chachalacas, guans and curassows are birds in the family Cracidae."
Cracticus,Cracticus is a genus of butcherbirds native to Australasia.
Crambe,"Crambe is a genus of annual and perennial flowering plants in the family Brassicaceae, native to a variety of habitats in Europe, Turkey, southwest and central Asia and eastern Africa."
Crangon,Crangon is a genus of shrimp.
Crangonidae,"Crangonidae is a family of shrimp, of the superfamily Crangonoidea, including the commercially important species Crangon crangon."
